lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-05-03 02:20:43.674768,0.026058925315737724,9.047929052030668e-05,-119.86492156982422,449.0,1.0,,,,,,,,,
0.02,2023-05-03 02:21:10.008137,,,,,,,,,,,,,,
,2023-05-03 02:21:13.948629,0.13881750404834747,0.0006537174922414124,-132.3643035888672,499.0,1.0,,,,,,,,,
,2023-05-03 02:21:15.925821,,,,,1.0,0.24915416538715363,0.0025648470036685467,-132.50489807128906,0.10273530334234238,0.0004526647098828107,-132.6513214111328,,,
,2023-05-03 02:21:15.935399,,,,,1.0,,,,,,,0.12787075340747833,0.0012883638264611363,-100.91844177246094
0.02,2023-05-03 02:23:14.690903,,,,,,,,,,,,,,
,2023-05-03 02:23:15.225632,0.0538003034889698,0.00018769782036542892,-144.93333435058594,549.0,2.0,,,,,,,,,
0.02,2023-05-03 02:23:41.438808,,,,,,,,,,,,,,
,2023-05-03 02:23:41.965024,0.0898922011256218,0.00034605179098434746,-157.25485229492188,599.0,2.0,,,,,,,,,
0.02,2023-05-03 02:24:08.107131,,,,,,,,,,,,,,
,2023-05-03 02:24:08.640596,0.15190109610557556,0.001425285590812564,-169.4256134033203,649.0,2.0,,,,,,,,,
0.02,2023-05-03 02:24:34.874234,,,,,,,,,,,,,,
,2023-05-03 02:24:35.403132,0.07793349027633667,0.00026253628311678767,-181.6090850830078,699.0,2.0,,,,,,,,,
0.02,2023-05-03 02:25:01.681114,,,,,,,,,,,,,,
,2023-05-03 02:25:02.207382,0.22326913475990295,0.001140889711678028,-193.45130920410156,749.0,2.0,,,,,,,,,
,2023-05-03 02:25:04.605562,,,,,2.0,0.061419736593961716,0.0002729800471570343,-193.8516845703125,0.10929343849420547,0.0014739589532837272,-193.8037872314453,,,
,2023-05-03 02:25:04.611677,,,,,2.0,,,,,,,0.12842804193496704,0.0022705167066305876,-163.43197631835938
0.02,2023-05-03 02:25:31.698587,,,,,,,,,,,,,,
,2023-05-03 02:25:32.233276,0.1739206314086914,0.0014054715866222978,-205.36778259277344,799.0,3.0,,,,,,,,,
0.02,2023-05-03 02:25:58.529828,,,,,,,,,,,,,,
,2023-05-03 02:25:59.074202,0.05459613353013992,0.00019355618860572577,-217.2350616455078,849.0,3.0,,,,,,,,,
0.02,2023-05-03 02:26:25.457582,,,,,,,,,,,,,,
